ASN11036,"Signal Perfection, Ltd., Inc.",
ASN11037,Mohawk Shared Services Inc,
ASN11038,The Tulalip Tribes of Washington,
ASN11039,The George Washington University,
ASN1104,Stichting voor Fundamenteel Onderzoek der Materie,
ASN11041,"Atlantic.net, Inc.",
ASN11042,Landis Holdings Inc,
ASN11043,Sunrise Brokers,
ASN11044,Harvey Public Library District,
ASN11045,"Sterling Communications, Inc.",
ASN11046,Little Apple Technologies,
ASN11047,Hartford Hospital,
ASN11049,"Dynamic Network Services, Inc.",
ASN11050,Kent State University,
ASN11051,"Cyberverse, Inc.",
ASN11052,Intermountain Health Care,
ASN11054,"LivePerson, Inc.",
ASN11056,"Berger & Montague, P.C",
ASN11057,J. Walter Thompson,
ASN11059,"Kaneva, Inc.",
ASN11061,"Antelecom, Inc.",
ASN11062,MTCO Communications,
ASN11065,"NewPoint Media Group, LLC",
ASN11066,"Con-way, Inc.",
ASN11067,"Panhandle Telecommunications Systems, INC.",
ASN11068,"Hanna, Brophy, MacLean, McAleer & Jensen, L.L.P",
ASN11069,"Egix, Inc.",
ASN11070,"Metanet Communications, Inc.",
ASN11071,"InfoWest, Inc.",
ASN11072,"Redflex Traffic Systems, Inc.",
ASN11073,Minnesota Public Radio,
ASN11074,Sidera Networks LLC,
ASN11075,"Broadway Video, Inc.",
ASN11076,COMMUNITY COMPUTER SERVICE INC,
ASN11077,XBASE Technologies Corp.,
ASN11078,Brown University,
ASN11080,"Yellowknife Wireless Company, LLC",
ASN11081,United Telecommunication Services (UTS),
ASN11084,Huron Telecommunications Cooperative Limited,
ASN11085,"Premier Designs, Inc",
ASN11086,Pitney Bowes,
ASN11088,iConnect,
ASN11089,ERGON,
ASN1109,University of Salzburg,
ASN11090,"Matanuska Telephone Association, Inc.",
ASN11091,"Schryver Medical Sales and Marketing, Inc.",
ASN11092,Hevanet,
ASN11093,Dataway,
ASN11094,Rutgers University,
ASN11096,FloridaNet,
ASN11097,BRASILEIRA DE PESQUISA AGROPECUARIA,
ASN11098,"SBC Communications, Inc.",
ASN111,Boston University,
ASN1110,University of Innsbruck,
ASN11101,Palmetto Health,
ASN11102,VYANET,
ASN11105,Simon Fraser University,
ASN11106,"Wolfram Research, Inc.",
ASN11109,"State of Alabama, Information Services Division",
