"Source";"Destination";"Relationship"
174;12179;-1
174;12180;-1
174;12181;-1
174;12182;-1
174;12188;-1
174;12189;-1
174;12196;-1
174;12204;-1
174;12212;-1
174;12218;-1
174;12222;-1
174;12243;-1
174;12256;-1
174;12260;-1
174;12301;-1
174;12305;-1
174;12322;-1
174;12329;-1
174;12334;-1
174;12338;-1
174;12347;-1
174;12350;-1
174;12355;-1
174;12387;-1
174;12388;-1
174;12389;-1
174;12390;-1
174;12392;-1
174;12409;-1
174;12414;-1
174;12470;-1
174;12481;-1
174;12491;-1
174;12508;-1
174;12512;-1
174;12533;-1
174;12540;-1
174;12541;-1
174;12605;-1
174;12615;-1
174;12617;-1
174;12637;-1
174;12658;-1
174;12670;-1
174;12684;-1
174;12714;-1
174;12715;-1
174;12727;-1
174;12731;0
174;12732;-1
174;12741;-1
174;12759;-1
174;12778;-1
174;12779;-1
174;12804;-1
174;12822;-1
174;12824;-1
174;12835;-1
174;12849;-1
174;12860;-1
174;12870;-1
174;12876;-1
174;12884;-1
174;12926;-1
174;12941;-1
174;12942;-1
174;12946;-1
174;12956;0
174;12961;-1
174;12989;-1
174;12996;-1
174;13000;-1
174;13001;-1
174;13002;0
174;13005;-1
174;13009;-1
174;13039;-1
174;13101;0
174;13110;-1
174;13122;-1
174;13156;-1
174;13188;-1
174;13191;-1
174;13194;-1
174;13208;-1
174;13213;-1
174;13226;-1
174;13238;-1
174;13243;-1
174;13249;0
174;13250;-1
174;13284;-1
174;13287;-1
174;13326;-1
174;13331;-1
174;13332;-1
174;13333;-1
174;13335;-1
174;13342;-1
174;13354;-1
174;13360;-1
174;13364;-1
174;13365;-1
174;13368;-1
174;13372;-1
174;13380;-1
174;13383;-1
174;13409;-1
174;13412;-1
174;13415;-1
174;13425;-1
174;13441;-1
174;13446;-1
174;13448;-1
174;13452;-1
174;13464;-1
174;13482;-1
174;13490;-1
174;13536;-1
174;13570;-1
174;13576;-1
174;13588;-1
174;13591;-1
174;13595;-1
174;13613;-1
174;13649;-1
174;13650;-1
174;13653;-1
174;13658;-1
174;13684;-1
174;13693;-1
174;13696;-1
174;13711;-1
174;13729;-1
174;13750;-1
174;13763;-1
174;13776;-1
174;13789;-1
174;13790;-1
174;13803;-1
174;13806;-1
174;13816;-1
174;13819;-1
174;13825;-1
174;13838;-1
174;13849;-1
174;13855;-1
174;13862;-1
174;13876;-1
174;13886;-1
174;13896;-1
174;13907;-1
174;13909;-1
174;13923;-1
174;13926;-1
174;13956;-1
174;13967;-1
174;13972;-1
174;13977;-1
174;13985;-1
174;13999;-1
174;14004;-1
174;14006;-1
174;14037;-1
174;14044;-1
174;14048;-1
174;14053;-1
174;14068;-1
174;14093;-1
174;14103;-1
174;14116;-1
174;14125;-1
174;14127;-1
174;14150;-1
174;14160;-1
174;14166;-1
174;14178;-1
174;14193;-1
174;14203;-1
174;14205;-1
174;14218;-1
174;14230;-1
174;14238;-1
174;14243;-1
174;14288;-1
174;14296;-1
174;14310;-1
174;14325;-1
174;14327;-1
174;14363;-1
174;14375;-1
174;14380;-1
174;14383;-1
174;14390;-1
174;14394;-1
174;14399;-1
174;14409;-1
174;14430;-1
174;14434;-1
174;14442;-1
174;14444;-1
174;14452;-1
174;14454;-1
174;14460;-1
174;14465;-1
174;14469;-1
174;14477;-1
174;14483;-1
174;14500;-1
174;14501;-1
174;14502;-1
174;14522;-1
174;14537;-1
174;14554;-1
174;14575;-1
174;14585;-1
174;14586;-1
174;14589;-1
174;14601;-1
174;14611;-1
174;14613;-1
174;14619;-1
174;14633;-1
174;14640;-1
174;14652;-1
174;14658;-1
174;14660;-1
174;14661;-1
174;14671;-1
